word,shift
正太,0.908707
鲁豫,0.872116
猛击,0.856587
福利社,0.841725
不快,0.816481
吕田,0.815869
龃龉,0.811162
大平,0.794094
唐克,0.791540
尼玛,0.787460
和会,0.778882
彭青,0.778427
卡特,0.769327
里庄,0.769257
双月,0.767997
整起,0.767882
三友,0.765247
天立,0.763779
多利,0.762810
新立,0.762002
赵为民,0.761195
殿下,0.759590
骨肉相连,0.757719
万隆,0.755805
苗圃,0.754300
思南,0.753576
王兵,0.750606
五二,0.746097
猎隼,0.745141
李潇,0.743282
山王,0.742683
强推,0.742253
神通,0.738643
锦囊妙计,0.738619
罗晋,0.737890
巴拉,0.736921
大小姐,0.736597
小儿科,0.733733
金钱豹,0.733325
王威,0.732498
吴健,0.730025
采购员,0.728796
鸿福,0.725688
活学活用,0.724217
内转,0.723425
派对,0.721507
老聃,0.721390
明子,0.720786
速成,0.720398
王小川,0.720368
我团,0.717607
招招,0.715638
记实,0.715470
请听,0.713511
配电,0.713124
便当,0.713089
段长,0.711842
皮皮,0.710825
司马,0.710393
九六,0.708754
圣爱,0.707026
和缓,0.706982
鼎鼎,0.706166
翻牌,0.705986
建站,0.705245
看图,0.704297
调查团,0.703884
前清,0.703633
稍后,0.703269
同一天,0.703017
周知,0.701808
益民,0.700910
都太,0.700438
富山,0.700060
来张,0.699644
洋子,0.699329
罐头厂,0.698162
博古,0.696597
马哥,0.695476
马洪,0.695190
陈金,0.694062
而外,0.693859
心战,0.693073
发微,0.692676
建武,0.692103
鞍山,0.691971
新泰,0.691567
王志强,0.690950
互推,0.690910
图说,0.690615
闹闹,0.689994
江华,0.688516
建德,0.688474
随行人员,0.688454
神龙,0.686765
韩庄,0.686506
刘伟,0.684561
微群,0.684495
红透,0.683235
老爷,0.683139
上相,0.682775
万国,0.682206
发发,0.682108
古德,0.681500
傅军,0.680920
新闻简报,0.678078
阿哈,0.677671
晓阳,0.676436
星夜,0.676423
阿涛,0.676397
马琳,0.675109
亚龙,0.674973
陈文,0.674150
微尘,0.673454
两院,0.673249
落脚点,0.672628
吴长江,0.672015
授奖,0.671777
李建国,0.671187
写真,0.670927
白莲,0.670096
下院,0.669997
环环,0.669751
大炮,0.669488
嘉言,0.669477
詹妮弗,0.668761
木土,0.668535
克拉克,0.668492
来顶,0.668050
托尔斯,0.667709
学徒,0.667563
大华,0.667210
老根,0.666664
来去自由,0.666408
随同,0.666085
调出,0.665938
盖洛,0.665118
美华,0.664106
田中,0.663390
杜氏,0.663255
雪儿,0.663050
顾问团,0.662872
鞍钢,0.662822
高木,0.661776
刘江,0.661737
碳粉,0.661528
全福,0.660234
山崎,0.659542
策勒,0.659173
中川,0.658458
南庄,0.657853
二四,0.657750
念是,0.657632
杜尔,0.656813
张瑞,0.656564
古奇,0.654653
水法,0.654322
徐斌,0.654228
铁锋,0.653851
营地,0.653589
何洁,0.653100
李文,0.650893
杨雯,0.650551
肥羊,0.649818
张卫,0.649616
火烧,0.648456
赵煦,0.648152
新马,0.648047
永刚,0.647235
丁汀,0.646251
波夫,0.646022
马歇尔,0.645661
兴业,0.645602
陈派,0.645295
郭沫若,0.645270
地址,0.645117
渔人,0.644750
公害,0.643833
李敏,0.642834
兰博,0.642644
机工,0.642496
